Sample ID,Moi
Fermented_#_500861,61.5327729
Fermented_#_500863,55.17924528000001
Fermented_#_500864,66.02852804
Fermented_#_500884,51.49701438999999
Fermented_#_501125,65.80100279
Fermented_#_501126,62.6787126
Fermented_#_501137,56.44044118000001
Fermented_#_501138,58.45177943
Fermented_#_501173,68.3523917
Fermented_#_501174,69.85006623
Fermented_#_501175,67.99567901
Fermented_#_501185,68.69853128
Fermented_#_501186,66.48895377
Fermented_#_501187,66.45933047
Fermented_#_501197,67.51041171
Fermented_#_501198,69.81730402
Fermented_#_501199,67.00103111
Fermented_#_501548,67.09108968
Fermented_#_501550,63.03876819
Fermented_#_501555,64.29965966
Fermented_#_501567,66.39422067
Fermented_#_501568,67.45221649
Fermented_#_501571,65.07943662
Fermented_#_501682,62.43996393
Fermented_#_501686,59.253317800000005
Fermented_#_501689,54.48915315000001
Fermented_#_501696,58.35955098000001
Fermented_#_501859,70.00778986
Fermented_#_501860,41.00051985
Fermented_#_501862,67.95562667
Fermented_#_501864,62.47213115000001
Fermented_#_501865,66.07972518
Fermented_#_501869,70.98500933
Fermented_#_501871,53.08217523
Fermented_#_501874,67.38434783
Fermented_#_501886,58.49828351
Fermented_#_501917,64.23497692
Fermented_#_501921,66.2121888
Fermented_#_501966,69.89707317
Fermented_#_501971,66.63192825
Fermented_#_501975,64.46812813
Fermented_#_501976,68.08402471
Fermented_#_501977,69.25387597
Fermented_#_501982,66.54540146
Fermented_#_501996,70.30654902
Fermented_#_502031,63.52426135999999
Fermented_#_502034,54.74907922999999
Fermented_#_502037,53.99762711999999
Fermented_#_502040,59.457455679999995
Fermented_#_502043,64.17645617
Fermented_#_502045,65.03013601
Fermented_#_502048,62.22255794
Fermented_#_502049,63.34697769
Fermented_#_502050,59.59358949
Fermented_#_502054,66.00819672
Fermented_#_502056,65.50543624
Fermented_#_502057,62.31979729999999
Fermented_#_502058,63.094634150000005
Fermented_#_502059,60.3284492
Fermented_#_502060,64.32630126
Fermented_#_502063,63.17868195
Fermented_#_502064,65.21667825
Fermented_#_502066,61.90002415
Fermented_#_502067,60.90465005
Fermented_#_502072,60.67208791
Fermented_#_502074,60.51956731
Fermented_#_502075,63.21262799
Fermented_#_502077,66.0959415
Fermented_#_502081,57.67277614999999
Fermented_#_502082,62.82704483
Fermented_#_502084,63.710101480000006
Fermented_#_502098,64.09269303
Fermented_#_502099,65.21422343
Fermented_#_502100,51.39100783
Fermented_#_502101,59.73881279
Fermented_#_502102,62.831525420000006
Fermented_#_502273,66.41498016
Fermented_#_502274,64.11760784
Fermented_#_502275,62.17660359
Fermented_#_502276,67.49950884
Fermented_#_502277,65.92564547
Fermented_#_502278,61.20151203
Fermented_#_502279,60.29970326
Fermented_#_502280,62.21414843
Fermented_#_502288,63.32683870999999
Fermented_#_502311,54.859677420000004
Fermented_#_502339,63.64100088000001
Fermented_#_502341,66.4830011
Fermented_#_502606,59.41180745
Fermented_#_502607,57.84627928
Fermented_#_502608,58.50079284000001
Fermented_#_502609,57.33602
Fermented_#_502624,56.13760917
Fermented_#_502629,67.28311688
Fermented_#_502631,72.64610927
Fermented_#_502650,70.53871245
Fermented_#_502653,58.25344173
Fermented_#_502663,69.09337088
Fermented_#_502666,55.073327670000005
Fermented_#_502735,68.23899425
Fermented_#_502754,70.16140652
Fermented_#_502755,70.21742092
Fermented_#_502756,66.70885764
Fermented_#_503556,65.82925414
Fermented_#_503565,65.82978002
Fermented_#_503574,63.05391304
Fermented_#_503575,64.13020442
Fermented_#_503591,59.37271751000001
Fermented_#_503592,64.33972487
Fermented_#_503658,59.17400722
Fermented_#_503660,60.69943636000001
Fermented_#_503677,65.93441361
Fermented_#_503691,64.31125
Fermented_#_503787,62.84050485
Fermented_#_503805,64.22400735
Fermented_#_503882,67.81640183
Fermented_#_503883,67.77489478
Fermented_#_503885,61.84457808
Fermented_#_503912,70.86399142
Fermented_#_503915,58.03627538
Fermented_#_503922,65.53590952
Fermented_#_503924,59.87508670999999
Fermented_#_503931,64.73209068
Fermented_#_503935,66.97489527
Fermented_#_503984,67.36370833
Fermented_#_503998,49.26195261
Fermented_#_503999,46.89403092
Fermented_#_504011,71.40265722
Fermented_#_504015,56.056383679999996
Fermented_#_504106,62.16690808
Fermented_#_504109,76.81443756
Fermented_#_504114,68.02996951
Fermented_#_504117,66.62833665
Fermented_#_504118,59.3359633
Fermented_#_504124,63.19348066
Fermented_#_504125,60.0407155
Fermented_#_504171,67.48554637
Fermented_#_504172,71.40918256
Fermented_#_504173,64.34597884
Fermented_#_504175,64.09125239
Fermented_#_504250,59.74908742
Fermented_#_504251,57.72686888
Fermented_#_504271,47.37869742
Fermented_#_504277,59.53112689000001
Fermented_#_504279,66.86796296
Fermented_#_504280,54.98719497
Fermented_#_504282,63.74230769
Fermented_#_505554,75.04487
Fermented_#_518527,45.68168686
Fermented_#_518528,60.61339786999999
Fermented_#_518529,71.43139214
Fermented_#_518530,60.45628366
Fermented_#_518531,66.09975833
Fermented_#_518533,70.74095694
Fermented_#_519374,65.916589
Fermented_#_519375,72.63031789
