id,Moi,NDF,Starch
205,65.92564547,35.85,37
206,67.51041171,42.39,28.3
207,74.02222606,53.74,16.56
208,60.06515853,48.83,25.79
209,42.87694725,30.94,48.88
210,67.96879699,40.66,31.47
211,65.60479021,37.78,35.67
212,65.60479021,37.78,35.67
213,77.42827225,49.3,4.32
214,60.53,37.39,37.92
215,66.80067039,38.81,33.64
216,62.2475945,38.74,38.54
217,60.88,38.29,34.49
218,65.84390883,33.94,41.08
219,66.97489527,37.67,34.02
220,65.24,44.08,28.68
221,79.3839982,48.49,12.21
222,55.24551724,37.48,36.8
223,61.81680502,35.36,39.06
224,65.92665134,32.01,40.51
225,62.54467727,41.45,25.39
226,76.17940609,43.78,24.24
227,65.80100279,33.64,35.75
228,73.49002703,45.41,9.41
229,63.5351139,36.64,37.54
230,62.82,42.01,31.85
231,65.30669733,40.44,34.45
232,78.34002591,44.21,17.06
233,59.74908742,39.4,32.03
234,67.18118812,39.44,32.98
235,63.54688,47.23,10.45
236,67.48021467,35.63,34.72
237,63.08222222,36.27,36.06
238,72.98472064,54.84,12.13
239,58.39494371,37.44,33.07
240,60.29970326,30.39,40.85
241,64.09125239,36.85,38.25
242,57.14072993,41.86,32.24
243,65.22153465,41.15,29.11
244,70.29897196,44.77,24.84
245,68.02996951,40.88,35.15
246,63.77659979,36.29,33.28
247,66.81972112,48.48,11.61
248,50.48583665,29.28,45.84
249,62.48291667,42.95,20.8
250,60.79737778,32.03,39.71
251,67.36370833,40.37,34.89
252,52.75122914,42.59,31.29
253,53.93920596,37.63,35.2
254,65.60479021,37.78,35.67
255,42.78406397,37.04,39.02
256,64.34903004,34.42,38.75
257,69.0995117,38.1,29.84
258,60.67208791,32.38,40.89
259,61.84457808,32.02,42.52
260,58.21580042,42.93,29.77
261,67.1776616,44.36,32.09
262,65.11665293,38.62,33.41
263,57.33602,31.81,43.06
264,79.79501345,55.4,0.25
265,63.13772059,34.19,38.02
266,60.60852405,33.08,42.58
267,60.88,38.29,34.49
268,65.91186356,39.43,30.38
269,51.94784223,29.64,44.1
270,59.07,40.24,30.5
271,64.13020442,45.36,26.97
272,57.87194805,33.02,42.16
273,76.17940609,43.78,24.24
274,58.90854185,34.61,40.99
275,68.08263757,37.83,33.31
276,71.86,50.83,21.87
277,59.52264029,43.77,36.49
278,65.91186356,39.43,30.38
279,68.08402471,49.56,17.46
280,68.23899425,41.39,31.86
281,62.44286099,32.55,37.87
282,61.82396172,33.7,38.22
283,57.72686888,33.75,39.78
284,59.73881279,32.56,40.05
285,73.49002703,45.41,9.41
286,73.94,51.65,21.01
287,65.60479021,37.78,35.67
288,62.82,42.01,31.85
289,51.97855649,39.44,36.33
290,69.85006623,45.84,3.18
291,65.11036417,34.54,37.51
292,67.8,49.26,26.56
293,65.99570896,39.09,33.89
294,60.06515853,48.83,25.79
295,61.98870406,36.41,35.84
296,61.40842784,35.46,39.55
297,65.53590952,36.49,35.24
298,73.58051556,41.24,26.97
299,62.2475945,38.74,38.54
300,64.32367253,36.78,38.1
301,61.15134719,34.87,40.59
302,63.38966635,45.58,17.74
303,65.99570896,39.09,33.89
304,70.29897196,44.77,24.84
305,66.09,39.93,31.72
306,65.30669733,40.44,34.45
307,74.66032895,44.83,25.65
308,63.0325497,41.07,31.97
309,56.75437647,33.73,44.32
310,81.17973789,53.05,1.92
311,63.19326471,37.44,37.57
312,63.66309808,43.11,30.37
313,47.77003567,38.17,35.73
314,58.72718808,38.13,35.7
315,51.97855649,39.44,36.33
316,71.86,50.83,21.87
317,66.70885764,38.64,34.73
318,83.05967936,55.76,4.8
319,70.30654902,39.72,29.69
320,58.06280364,35.08,38.36
321,63.1953125,42.3,25.15
322,62.43,41.34,35.86
323,68.90900302,36.37,34.65
324,59.45745568,36.33,37.08
325,65.08717949,39.51,30.55
326,51.97855649,39.44,36.33
327,65.00104887,39.95,34.26
328,62.82,42.01,31.85
329,55.24551724,37.48,36.8
330,64.56752761,39.43,32.35
331,64.32367253,36.78,38.1
332,66.45933047,36.82,37.24
333,64.56752761,39.43,32.35
334,62.75202303,38.85,35.68
335,69.16,46.41,26.65
336,55.24551724,37.48,36.8
337,62.69035965,35.81,37.93
338,55.24551724,37.48,36.8
339,63.21523982,37.96,36.34
340,65.91186356,39.43,30.38
341,66.26643721,36.19,33.31
342,63.38966635,45.58,17.74
343,65.91186356,39.43,30.38
344,79.79501345,55.4,0.25
345,68.62587156,39.08,32.4
346,63.52426136,32.97,37.2
347,58.73247563,39.61,27.11
348,54.09001664,34.32,38.52
349,58.26,39.38,34.8
350,58.26,39.38,34.8
351,67.48176823,36.49,34.71
352,56.3136528,33.18,39.8
353,61.22167946,35.93,39.5
354,65.70552239,43.89,22.03
355,77.24931319,45.34,15.49
