,id,Moi,NDF,Starch
202,501869,70.98500933,42.05,23.94
246,502273,66.41498016,36.2,36.96
299,504106,62.16690808,34.28,38.29
353,542138,68.90900302,36.37,34.65
373,544399,51.27297747,40.4,30.34
294,503984,67.36370833,40.37,34.89
463,734460,65.11665292662819,38.62,33.41
278,503592,64.33972487,45.02,29.089999999999996
125,500036,66.87414501,36.82,40.4
296,503999,46.89403092,35.23,42.84
223,502050,59.59358949,31.65,40.69
410,701102,59.07,40.24,30.5
219,502043,64.17645617,39.53,28.82
129,500072,63.71732157,37.48,40.42
412,701104,62.93999999999999,42.22,34.1
456,734220,63.38966634890372,45.58,17.74
322,518531,66.09975833,41.66,34.91
368,544332,64.59335128,38.54,33.92
407,557036,72.12943925,43.02,23.71
347,542098,68.97466192,39.15,32.56
388,545473,58.39494371,37.44,33.07
358,544064,65.64304933,34.56,39.03
333,522657,47.5622449,34.78,40.77
112,492509,58.09507853,36.9,35.06
179,501174,69.85006623,45.84,3.18
301,504114,68.02996951,40.88,35.15
332,522656,53.5869441,44.61,27.57
323,518533,70.74095694,42.89,23.86
469,734685,65.99570895522388,39.09,33.89
351,542105,64.37210773,38.17,32.11
233,502067,60.90465005,38.91,37.32
305,504125,60.0407155,38.34,34.79
164,500806,69.0995117,38.1,29.839999999999996
136,500237,61.70821328000001,35.95,35.19
197,501859,70.00778986,38.04,32.39
258,502606,59.41180745,30.209999999999997,42.42
232,502066,61.90002415,34.03,35.55
115,492565,60.60852405000001,33.08,42.58
120,492771,50.05790766,35.9,40.96
341,542087,68.71706294,40.78,31.58
224,502054,66.00819672,36.73,35.65
394,548497,63.00744715,41.66,19.52
475,736555,63.54687999999999,47.23,10.45
127,500048,67.59969199,35.75,38.59
285,503882,67.81640183,45.55,30.799999999999997
403,555618,70.60643797,42.0,26.84
107,492489,72.95925856,46.39,28.77
362,544220,77.04833043,51.46,10.0
439,731840,58.23135864978903,32.13,43.20000000000001
133,500209,65.47588785,38.64,31.25
355,542420,67.55998195,40.42,30.69
44,488490,65.27828371,36.36,35.14
449,732785,75.26118240146654,55.02,0.25
65,490186,63.14031732,32.43,42.18
283,503787,62.84050485,35.79,37.96
85,491115,60.82856678,33.9,41.12
242,502099,65.21422343,40.54,31.22
186,501199,67.00103111,40.72,30.69
159,500640,65.97472924,36.63,39.7
12,484383,66.96450909,35.36,36.94
35,486410,63.45289063,36.1,39.8
28,486252,64.78999003,38.02,37.27
170,500861,61.5327729,38.37,35.63
142,500312,69.15138889,45.67,12.22
390,548490,69.06479042,38.41,27.08
335,539157,48.99972893999999,31.790000000000003,43.70000000000001
221,502048,62.22255794,30.860000000000003,42.65
95,491795,64.99727273,42.57,28.190000000000005
51,488851,71.0933541,45.78,15.220000000000002
240,502084,63.710101480000006,38.59,32.88
364,544287,66.23875117,31.8,40.51
370,544339,64.15967836,34.88,37.2
178,501173,68.3523917,43.01,20.75
41,488465,60.29970018,31.49,43.53
382,544499,66.36165775,38.37,33.72
206,501917,64.23497692,90.74,6.840000000000001
282,503691,64.31125,37.92,34.3
254,502288,63.32683870999999,38.43,37.0
404,555619,65.71843066,41.5,29.600000000000005
4,480933,62.91711378,31.35,41.55
256,502339,63.64100088000001,37.02,36.4
438,731839,65.36699922057677,44.04,28.429999999999996
100,492173,68.62587156,39.08,32.4
226,502057,62.31979729999999,35.49,39.58
418,701110,62.82,42.01,31.85
213,501982,66.54540146,44.12,28.4
171,500863,55.17924528000001,34.22,40.27
98,491936,58.22651162999999,35.39,38.8
292,503931,64.73209068,34.95,34.27
215,502031,63.52426135999999,32.97,37.2
61,489190,63.441134749999996,35.9,34.45
47,488531,66.69682387,47.8,33.72
32,486406,47.33922211,37.98,35.2
267,502663,69.09337088,42.1,32.57
327,519382,66.31173132,45.48,26.440000000000005
200,501864,62.47213115000001,37.31,37.69
436,729667,67.66,41.3,22.35
27,486246,64.34903004,34.42,38.75
381,544453,70.48450569,39.96,32.22
230,502063,63.17868195,37.12,37.1
260,502608,58.50079284000001,33.45,41.46
288,503912,70.86399142,41.94,30.36
162,500796,58.90854184999999,34.61,40.99
416,701108,66.88,45.03,29.34
138,500301,61.81680501999999,35.36,39.06
62,489193,65.27985415,35.51,36.95
135,500235,64.61808824,35.61,36.62
128,500049,60.987210219999994,31.57,43.17
464,734654,64.56752761257434,39.43,32.35
8,483135,57.14072993,41.86,32.24
326,519377,68.51711704,42.36,28.47
452,734002,67.02021589793915,40.3,31.46
64,490174,66.02966232,36.91,34.91
300,504109,76.81443756,48.33,30.74
14,484692,53.93920596,37.63,35.2
156,500562,64.83392523,37.55,32.78
40,488463,62.00737896,34.95,37.35
379,544434,63.77659979,36.29,33.28
448,732777,81.17973788721207,53.05,1.9199999999999997
395,548499,68.01049558,39.3,27.47
216,502034,54.74907922999999,42.83,31.0
279,503658,59.17400722,36.31,38.46
424,701116,72.06,50.46,22.13
420,701112,65.79,44.9,31.74
337,539159,69.40313099,41.8,28.17
236,502075,63.21262799,34.17,36.77
207,501921,66.2121888,38.94,27.589999999999996
212,501977,69.25387597,39.82,30.940000000000005
295,503998,49.26195261,31.23,46.96
446,731847,69.70787216828478,41.8,32.12
251,502278,61.20151203,29.58,45.27
476,736556,69.23642137096775,51.9,2.4100000000000006
447,731848,65.60479020979021,37.78,35.67
303,504118,59.3359633,34.28,41.04
350,542104,67.82578797,37.69,32.92
269,502735,68.23899425,41.39,31.86
201,501865,66.07972518,35.34,38.41
161,500644,65.22153465,41.15,29.110000000000003
43,488483,60.21044487,33.99,40.42
217,502037,53.99762711999999,32.24,41.42
401,555616,69.95520958,43.63,24.37
190,501567,66.39422067,34.07,38.64
309,504175,64.09125239,36.85,38.25
259,502607,57.84627928,32.2,44.45
105,492475,67.38352306,38.15,34.64
53,488853,46.48929071,27.75,43.58
389,545681,58.87334353,33.97,40.55
1,480927,50.48583665,29.28,45.84
431,728585,83.05967935871743,55.76,4.8
470,734713,67.6016555661275,41.56000000000001,28.3
49,488842,65.22021459,40.85,30.28
80,491061,65.12050551,36.85,35.01
205,501886,58.49828351,34.32,40.26
34,486409,74.66032895,44.83,25.65
263,502629,67.28311688,39.35,31.65
366,544306,57.033455599999996,33.59,42.26
91,491733,67.07509267,38.23,35.28
339,539161,67.02898722,53.169999999999995,14.86
461,734458,62.6903596491228,35.81000000000001,37.93
52,488852,66.42523185,35.79,35.88
345,542094,59.93355649,39.36,35.64
264,502631,72.64610927,41.62,28.55
241,502098,64.09269303,39.63,31.180000000000003
13,484488,56.46466667,33.72,39.08
315,504280,54.98719497,41.24,33.98
88,491127,67.02148576,36.3,33.72
387,545471,63.293531,37.27,32.75
273,503556,65.82925414,42.52,29.01
166,500813,59.49942252000001,31.160000000000004,45.14
328,519383,70.80601101,42.96,29.940000000000005
480,737740,79.3839982030548,48.49,12.21
134,500234,71.42471483,50.52,20.7
306,504171,67.48554637,41.25,25.44
468,734684,66.22271758436945,40.84,32.81
319,518528,60.61339786999999,33.24,40.94
243,502100,51.39100783,30.45,45.82
54,488854,50.72472122,30.809999999999995,42.2
363,544245,65.00104887,39.95,34.26
50,488843,66.25172697,39.02,34.2
174,501125,65.80100279,33.64,35.75
445,731846,64.32367253251721,36.78,38.1
189,501555,64.29965966,39.97,32.79
484,737774,58.21580041580042,42.93,29.77
187,501548,67.09108968,36.23,35.73
169,500823,61.40842784,35.46,39.55
58,489163,64.52088795,35.41,33.04
48,488537,67.96879699,40.66,31.47
344,542092,64.82720348,40.33,31.21
235,502074,60.51956731,35.91,40.49
252,502279,60.29970326,30.389999999999997,40.85
21,485045,57.499884789999996,39.03,36.17
313,504277,59.53112689000001,33.89,41.92
160,500643,63.19326471000001,37.44,37.57
276,503575,64.13020442,45.36,26.97
443,731844,62.24759450171822,38.74,38.54
191,501568,67.45221649,41.11,30.089999999999996
385,545468,62.03149954,35.16,39.44
293,503935,66.97489527,37.67,34.02
413,701105,60.64,48.41,26.51
343,542090,52.75122914,42.59,31.290000000000003
257,502341,66.4830011,36.03,36.69
308,504173,64.34597884,36.67,35.22
149,500486,70.15872302,40.39,34.3
130,500073,72.98472064,54.84,12.13
151,500530,63.21523982,37.96,36.34
359,544065,63.08222222,36.27,36.06
99,491937,64.93634372,35.42,37.41
372,544349,59.071840439999995,43.32,30.53
87,491125,51.41667606,34.16,43.56
458,734222,70.29897196261683,44.77,24.84
330,522654,51.947842230000006,29.639999999999997,44.1
214,501996,70.30654902,39.72,29.690000000000005
466,734656,62.75202302631578,38.85,35.68
121,500000,67.61223521,33.33,42.9
487,738179,74.02222605694564,53.74,16.56
20,485041,60.424015280000006,34.85,38.99
188,501550,63.03876819,33.88,40.64
71,490577,69.18389286,39.21,32.41
106,492488,61.56337824,40.8,34.5
270,502754,70.16140652,36.56,37.89
348,542100,68.08263757,37.83,33.31
435,729666,68.87536912751678,52.96,1.49
102,492185,57.87194805,33.02,42.16
