Sample_Index,Moi,NDF,Starch
1,60.82328638,35.56,37.2
2,50.48583665,29.28,45.84
3,63.11571081999999,41.44,33.25
4,65.41959407,39.32,32.91
5,62.91711378,31.35,41.55
6,63.66309808,43.11,30.369999999999997
7,62.44286099,32.55,37.87
8,64.25631285,37.8,36.78
9,57.14072993,41.86,32.24
10,58.82358168999999,34.78,37.98
11,70.13257576,42.57,25.96
12,57.829287750000006,29.52,45.45
13,66.96450909,35.36,36.94
14,56.46466667,33.72,39.08
15,53.93920596,37.63,35.2
16,58.06280363999999,35.08,38.36
17,61.26946535,35.74,38.24
18,67.3331546,41.21999999999999,31.330000000000002
19,54.91264662,34.96,39.17
20,63.0755814,38.07,35.83
21,60.424015280000006,34.85,38.99
22,57.499884789999996,39.03,36.17
23,66.75063348,37.86,34.04
24,67.50368912,37.45,32.08
25,62.10168739000001,35.67,29.77
26,62.35388309,30.339999999999996,43.29
27,65.08717949,39.51,30.55
28,64.34903004,34.42,38.75
29,64.78999003,38.02,37.27
30,67.37451786,34.27,36.06
31,67.84586957,40.17,33.05
32,47.13839416,39.67,40.95
33,47.33922211,37.98,35.2
34,64.36,36.35,41.13
35,74.66032895,44.83,25.65
36,63.45289063,36.1,39.8
37,62.21558295999999,44.54,26.43
38,47.77003567,38.17,35.73
39,50.23679688,42.52,34.46
40,63.5351139,36.64,37.54
41,62.00737896,34.95,37.35
42,60.29970018,31.49,43.53
43,56.3136528,33.18,39.8
44,60.21044487,33.99,40.42
45,65.27828371,36.36,35.14
46,63.83705440999999,36.35,38.26
47,59.522640290000005,43.77,36.49
48,66.69682387,47.8,33.72
49,67.96879699,40.66,31.47
50,65.22021459,40.85,30.28
51,66.25172697,39.02,34.2
52,71.0933541,45.78,15.220000000000002
53,66.42523185,35.79,35.88
54,46.48929071,27.75,43.58
55,50.72472122,30.809999999999995,42.2
56,56.99386838,38.39,33.12
57,59.596464839999996,38.28,34.55
58,59.06635551000001,35.64,38.65
59,64.52088795,35.41,33.04
60,68.0882963,39.96,34.0
61,61.22782329,35.24,35.79
62,63.441134749999996,35.9,34.45
63,65.27985415,35.51,36.95
64,56.022147649999994,38.54,34.07
65,66.02966232,36.91,34.91
66,63.14031732,32.43,42.18
67,68.54577213,40.67,30.51
68,50.89448905,42.78,37.38
69,64.82933333,36.04,35.82
70,56.226640350000004,40.4,35.3
71,52.24487805,35.84,41.75
72,69.18389286,39.21,32.41
73,67.79103825,37.77,35.59
74,70.8825878,34.87,41.26
75,70.26401631,36.75,33.54
76,70.23690165,40.49,32.19
77,67.75497312,40.68,30.97
78,65.80037437,36.2,33.67
79,50.68331762,26.690000000000005,50.8
80,60.8819788,35.71,38.09
81,65.12050551,36.85,35.01
82,67.2610585,38.4,31.79
83,68.88670178,38.07,30.130000000000003
84,61.98870406000001,36.41,35.84
85,56.4956962,30.43,44.88
86,60.82856678,33.9,41.12
87,65.69111554,42.05,32.79
88,51.41667606,34.16,43.56
89,67.02148576,36.3,33.72
90,77.42827225,49.29999999999999,4.32
91,60.77524315,38.14,34.59
92,67.07509267,38.23,35.28
93,54.09001664,34.32,38.52
94,65.76629834,37.48,35.53
95,57.69637462000001,34.51,39.7
96,64.99727273,42.57,28.190000000000005
97,42.87694725,30.94,48.88
98,58.05084042,35.33,37.36
99,58.22651162999999,35.39,38.8
100,64.93634372,35.42,37.41
101,68.62587156,39.08,32.4
102,67.50107527,31.859999999999996,41.33
103,57.87194805,33.02,42.16
104,63.51642202000001,42.69,26.839999999999996
105,65.11036417,34.54,37.51
106,67.38352306,38.15,34.64
107,61.56337824,40.8,34.5
108,72.95925856,46.39,28.77
109,67.48176823,36.49,34.71
110,68.00982609,38.15,32.61
111,64.63885099,35.07,39.41
112,66.05339512,38.68,34.85
113,58.09507853,36.9,35.06
114,65.92665134,32.01,40.51
115,64.43819355,33.88,38.81
116,60.60852405000001,33.08,42.58
117,61.82396171999999,33.7,38.22
118,67.25161738,35.78,35.04
119,63.53533014,33.63,36.87
120,65.71227405,38.18,35.42
121,50.05790766,35.9,40.96
122,67.61223521,33.33,42.9
123,64.69406181,35.04,43.5
124,61.23895582,31.530000000000005,44.91
125,65.45792948,36.02,40.43
